MatchID,Season,MatchWeek,Date,Time,HomeTeam,AwayTeam,FullTimeHomeTeamGoals,FullTimeAwayTeamGoals,FullTimeResult,HalfTimeHomeTeamGoals,HalfTimeAwayTeamGoals,HalfTimeResult,Referee,HomeTeamShots,AwayTeamShots,HomeTeamShotsOnTarget,AwayTeamShotsOnTarget,HomeTeamCorners,AwayTeamCorners,HomeTeamFouls,AwayTeamFouls,HomeTeamYellowCards,AwayTeamYellowCards,HomeTeamRedCards,AwayTeamRedCards,B365HomeTeam,B365Draw,B365AwayTeam,B365Over2.5Goals,B365Under2.5Goals,MarketMaxHomeTeam,MarketMaxDraw,MarketMaxAwayTeam,MarketAvgHomeTeam,MarketAvgDraw,MarketAvgAwayTeam,MarketMaxOver2.5Goals,MarketMaxUnder2.5Goals,MarketAvgOver2.5Goals,MarketAvgUnder2.5Goals,HomeTeamPoints,AwayTeamPoints
2019-2020_Burnley_Liverpool,2019-2020,4,2019-08-31,17:30,Burnley,Liverpool,0,3,A,0.0,2.0,A,C Kavanagh,7.0,15.0,2.0,7.0,6.0,4.0,10.0,16.0,0.0,0.0,0.0,0.0,9.5,5.5,1.3,1.61,2.3,11.0,5.7,1.37,9.45,5.43,1.33,1.65,2.4,1.61,2.33,0,3
2019-2020_Everton_Wolves,2019-2020,4,2019-09-01,14:00,Everton,Wolves,3,2,H,2.0,1.0,H,A Taylor,15.0,8.0,6.0,5.0,7.0,7.0,12.0,12.0,1.0,4.0,0.0,1.0,2.2,3.25,3.5,2.2,1.66,2.22,3.4,3.85,2.17,3.29,3.65,2.4,1.7,2.25,1.66,3,0
2019-2020_Arsenal_Tottenham,2019-2020,4,2019-09-01,16:30,Arsenal,Tottenham,2,2,D,1.0,2.0,A,M Atkinson,26.0,13.0,8.0,9.0,11.0,6.0,13.0,19.0,3.0,5.0,0.0,0.0,2.37,3.6,2.8,1.57,2.37,2.43,3.75,3.0,2.38,3.63,2.9,1.6,2.52,1.57,2.4,1,1
2019-2020_Liverpool_Newcastle,2019-2020,5,2019-09-14,12:30,Liverpool,Newcastle,3,1,H,2.0,1.0,H,A Marriner,21.0,8.0,9.0,1.0,10.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,1.14,8.5,17.0,1.4,3.0,1.18,9.15,23.0,1.15,8.27,19.45,1.45,3.05,1.42,2.89,3,0
2019-2020_Brighton_Burnley,2019-2020,5,2019-09-14,15:00,Brighton,Burnley,1,1,D,0.0,0.0,D,M Oliver,14.0,7.0,5.0,1.0,3.0,6.0,13.0,7.0,0.0,2.0,0.0,0.0,2.15,3.3,3.5,2.1,1.72,2.2,3.42,3.8,2.15,3.34,3.62,2.2,1.81,2.09,1.76,1,1
2019-2020_Man United_Leicester,2019-2020,5,2019-09-14,15:00,Man United,Leicester,1,0,H,1.0,0.0,H,M Atkinson,10.0,9.0,5.0,3.0,3.0,9.0,14.0,14.0,1.0,2.0,0.0,0.0,1.95,3.5,4.0,1.9,1.9,2.0,3.8,4.5,1.94,3.55,4.12,1.91,2.07,1.85,1.98,3,0
2019-2020_Sheffield United_Southampton,2019-2020,5,2019-09-14,15:00,Sheffield United,Southampton,0,1,A,0.0,0.0,D,L Mason,17.0,11.0,4.0,7.0,12.0,6.0,10.0,7.0,1.0,1.0,1.0,0.0,2.45,3.2,3.0,2.1,1.72,2.55,3.35,3.15,2.46,3.26,3.06,2.25,1.76,2.18,1.7,0,3
2019-2020_Tottenham_Crystal Palace,2019-2020,5,2019-09-14,15:00,Tottenham,Crystal Palace,4,0,H,4.0,0.0,H,C Pawson,13.0,11.0,5.0,6.0,4.0,3.0,19.0,11.0,4.0,2.0,0.0,0.0,1.36,5.25,8.0,1.61,2.3,1.45,5.25,9.0,1.39,5.0,8.24,1.7,2.36,1.64,2.28,3,0
2019-2020_Wolves_Chelsea,2019-2020,5,2019-09-14,15:00,Wolves,Chelsea,2,5,A,0.0,3.0,A,G Scott,11.0,15.0,4.0,6.0,7.0,5.0,8.0,11.0,1.0,2.0,0.0,0.0,2.9,3.3,2.5,1.9,1.9,3.07,3.43,2.6,2.97,3.36,2.46,2.02,1.91,1.97,1.86,0,3
2019-2020_Norwich_Man City,2019-2020,5,2019-09-14,17:30,Norwich,Man City,3,2,H,2.0,1.0,H,K Friend,7.0,25.0,3.0,8.0,3.0,16.0,8.0,7.0,3.0,1.0,0.0,0.0,15.0,9.0,1.14,1.22,4.33,21.0,9.85,1.18,17.04,9.03,1.15,1.25,4.38,1.23,4.15,3,0
