MatchID,Season,MatchWeek,Date,Time,HomeTeam,AwayTeam,FullTimeHomeTeamGoals,FullTimeAwayTeamGoals,FullTimeResult,HalfTimeHomeTeamGoals,HalfTimeAwayTeamGoals,HalfTimeResult,Referee,HomeTeamShots,AwayTeamShots,HomeTeamShotsOnTarget,AwayTeamShotsOnTarget,HomeTeamCorners,AwayTeamCorners,HomeTeamFouls,AwayTeamFouls,HomeTeamYellowCards,AwayTeamYellowCards,HomeTeamRedCards,AwayTeamRedCards,B365HomeTeam,B365Draw,B365AwayTeam,B365Over2.5Goals,B365Under2.5Goals,MarketMaxHomeTeam,MarketMaxDraw,MarketMaxAwayTeam,MarketAvgHomeTeam,MarketAvgDraw,MarketAvgAwayTeam,MarketMaxOver2.5Goals,MarketMaxUnder2.5Goals,MarketAvgOver2.5Goals,MarketAvgUnder2.5Goals,HomeTeamPoints,AwayTeamPoints
2023-2024_Wolves_Liverpool,2023-2024,5,2023-09-16,12:30,Wolves,Liverpool,1,3,A,1.0,0.0,H,M Oliver,11.0,16.0,2.0,6.0,4.0,4.0,10.0,4.0,1.0,3.0,0.0,0.0,6.0,5.0,1.45,1.44,2.75,7.5,5.25,1.51,6.64,4.95,1.45,1.52,2.75,1.48,2.66,0,3
2023-2024_Aston Villa_Crystal Palace,2023-2024,5,2023-09-16,15:00,Aston Villa,Crystal Palace,3,1,H,0.0,0.0,D,D England,16.0,6.0,5.0,3.0,4.0,2.0,13.0,9.0,5.0,3.0,0.0,0.0,1.91,3.6,4.0,1.89,2.01,1.96,3.89,4.21,1.9,3.7,4.07,1.92,2.04,1.87,1.97,3,0
2023-2024_Fulham_Luton,2023-2024,5,2023-09-16,15:00,Fulham,Luton,1,0,H,0.0,0.0,D,M Salisbury,13.0,7.0,2.0,2.0,6.0,2.0,6.0,14.0,2.0,2.0,0.0,0.0,1.67,3.75,5.5,1.89,2.01,1.73,4.2,5.5,1.68,3.96,5.18,1.93,2.04,1.88,1.96,3,0
2023-2024_Man United_Brighton,2023-2024,5,2023-09-16,15:00,Man United,Brighton,1,3,A,0.0,1.0,A,J Gillett,14.0,10.0,4.0,8.0,8.0,1.0,8.0,9.0,2.0,2.0,0.0,0.0,2.15,4.0,2.88,1.44,2.75,2.28,4.19,3.07,2.21,3.98,2.96,1.44,3.02,1.42,2.87,0,3
2023-2024_Tottenham_Sheffield United,2023-2024,5,2023-09-16,15:00,Tottenham,Sheffield United,2,1,H,0.0,0.0,D,P Bankes,28.0,7.0,10.0,5.0,15.0,2.0,13.0,14.0,6.0,5.0,0.0,1.0,1.29,5.5,11.0,1.5,2.63,1.31,6.51,12.0,1.28,6.1,10.52,1.51,2.75,1.48,2.66,3,0
2023-2024_West Ham_Man City,2023-2024,5,2023-09-16,15:00,West Ham,Man City,1,3,A,1.0,0.0,H,A Madley,6.0,29.0,3.0,15.0,4.0,11.0,7.0,11.0,3.0,2.0,0.0,0.0,7.0,4.5,1.45,1.62,2.3,7.5,4.95,1.53,6.57,4.67,1.48,1.7,2.43,1.62,2.34,0,3
2023-2024_Newcastle_Brentford,2023-2024,5,2023-09-16,17:30,Newcastle,Brentford,1,0,H,0.0,0.0,D,C Pawson,9.0,11.0,2.0,2.0,8.0,3.0,8.0,12.0,3.0,5.0,0.0,0.0,1.53,4.2,6.0,1.67,2.2,1.58,4.6,6.75,1.53,4.37,6.12,1.7,2.36,1.67,2.24,3,0
2023-2024_Bournemouth_Chelsea,2023-2024,5,2023-09-17,14:00,Bournemouth,Chelsea,0,0,D,0.0,0.0,D,D Coote,13.0,14.0,4.0,6.0,1.0,7.0,15.0,20.0,1.0,5.0,0.0,0.0,4.33,3.75,1.8,1.67,2.2,4.5,4.2,1.84,4.34,3.96,1.79,1.68,2.38,1.64,2.3,1,1
2023-2024_Everton_Arsenal,2023-2024,5,2023-09-17,16:30,Everton,Arsenal,0,1,A,0.0,0.0,D,S Hooper,8.0,13.0,1.0,4.0,1.0,11.0,12.0,10.0,1.0,1.0,0.0,0.0,6.0,4.5,1.5,1.67,2.2,6.5,4.75,1.57,6.07,4.55,1.52,1.7,2.36,1.65,2.27,0,3
2023-2024_Nott'm Forest_Burnley,2023-2024,5,2023-09-18,19:45,Nott'm Forest,Burnley,1,1,D,0.0,1.0,A,R Jones,14.0,10.0,4.0,3.0,5.0,4.0,16.0,10.0,2.0,3.0,0.0,1.0,2.2,3.5,3.25,1.92,1.98,2.31,3.65,3.41,2.24,3.51,3.22,1.98,2.01,1.91,1.92,1,1
2023-2024_Crystal Palace_Fulham,2023-2024,6,2023-09-23,15:00,Crystal Palace,Fulham,0,0,D,0.0,0.0,D,P Tierney,7.0,10.0,3.0,5.0,3.0,2.0,10.0,15.0,3.0,2.0,0.0,0.0,1.91,3.4,4.2,2.0,1.8,2.01,3.68,4.35,1.95,3.51,4.09,2.13,1.85,2.05,1.8,1,1
